close,rsi,ema_fast,ema_slow,momentum,label
74102.29,45.1,74706.16,74525.82,-549.9100000000035,BUY
74277.15,46.97,74739.17,74530.23,-471.75,SELL
74023.15,41.9,74748.19,74532.07,-70.04000000000815,BUY
74131.55,45.76,74576.37,74527.74,-91.6299999999901,BUY
74568.36,52.36,74499.31,74540.53,466.070000000007,BUY
74613.28,52.54,74362.62,74570.07,336.13000000000466,SELL
74322.0,48.66,74309.54,74566.82,298.8500000000058,BUY
74345.97,34.55,74234.67,74562.14,214.41999999999825,SELL
74340.38,39.83,74265.55,74540.12,-227.97999999999593,SELL
74021.5,30.53,74258.9,74528.43,-591.7799999999988,SELL
73891.62,36.38,74265.16,74524.79,-430.38000000000466,SELL
73730.43,32.17,74232.22,74514.08,-615.5400000000081,BUY
74110.51,50.34,74261.82,74507.54,-229.8700000000099,SELL
74011.69,45.85,74270.22,74408.63,-9.809999999997672,SELL
73864.75,45.39,74194.61,74342.65,-26.869999999995343,BUY
74201.78,48.62,74121.67,74257.68,471.3500000000058,BUY
74273.77,54.9,74095.35,74225.4,163.2600000000093,SELL
74063.92,48.73,74049.63,74177.26,52.229999999995925,BUY
74151.81,40.98,74004.58,74183.5,287.0599999999977,SELL
73844.08,35.04,73992.36,74170.37,-357.6999999999971,BUY
73941.09,41.99,74007.06,74169.38,-332.68000000000757,BUY
74134.95,45.86,74062.89,74159.44,71.02999999999884,BUY
74390.29,50.89,74073.43,74177.44,238.47999999999593,BUY
75002.6,65.88,74137.84,74205.16,1158.520000000004,SELL
74841.68,65.22,74226.27,74193.45,900.5899999999965,SELL
74743.1,66.56,74260.37,74174.52,608.1500000000087,BUY
74964.0,64.72,74298.6,74185.15,573.7100000000064,SELL
74809.99,63.51,74369.21,74189.9,-192.61000000000058,BUY
74815.1,66.89,74433.01,74195.53,-26.579999999987194,SELL
74657.66,58.66,74549.14,74223.36,-85.44000000000233,BUY
74887.24,60.99,74675.16,74270.14,-76.75999999999476,BUY
74888.21,65.96,74782.09,74332.85,78.22000000000116,BUY
74944.15,65.54,74860.07,74369.02,129.04999999998836,BUY
75043.48,75.61,74845.68,74418.22,385.81999999999243,BUY
